ColumnName,SimbadFill,NonUserFill
'Starname',False,False
'Gaia_ID',True,False
'TIC_ID',True,False
'Program_Code',False,False
'RA',True,False
'Dec',True,False
'pmRA',True,False
'pmDec',True,False
'Epoch',True,False
'Jmag',True,False
'Gmag',True,False
'SysRV',True,False
'Teff',True,False
'Nominal_ExpTime',False,False
'Max_ExpTime',False,False
'Simulcal',False,False
'Total_Observations_Requested',False,False
'N_Observations_per_Visit',False,False
'N_Visits_per_Night',False,False
'Intra_Night_Cadence',False,False
'N_Unique_Nights',False,False
'Inter_Night_Cadence',False,False
'Total_Time_for_Target_Hours',False,True
'Comment',False,False
